序號,券商,價格,買進股數,賣出股數
1,1020 合　　庫,180,1000,0
2,1020 合　　庫,180.5,4000,0
3,1020 合　　庫,181,200,0
4,1021 合庫台中,180.5,2000,1000
5,1021 合庫台中,181,3000,0
6,1022 合庫台南,181,2100,0
7,1023 合庫高雄,180.5,1000,0
8,1023 合庫高雄,181,1000,3000
9,1024 合庫嘉義,180.5,1000,0
10,1024 合庫嘉義,181,0,80
11,1028 合庫彰化,181,200,0
12,102A 合庫新竹,180.5,1000,0
13,102A 合庫新竹,181,6000,0
14,102C 合庫自強,180.5,1000,11000
15,102C 合庫自強,181,1100,0
16,102E 合庫桃園,180.5,5000,0
17,1030 土　　銀,180.5,0,2000
18,1033 土銀高雄,180.5,1000,0
19,1033 土銀高雄,181,0,2000
20,1035 土銀新竹,180.5,1000,0
21,1035 土銀新竹,181,2000,0
22,1035 土銀新竹,181.5,0,1000
23,1037 土銀花蓮,180.5,2000,0
24,1037 土銀花蓮,181,6000,0
25,103A 土銀建國,181,1000,0
26,103B 土銀彰化,180.5,1000,0
27,103C 土銀白河,181,1000,0
28,1040 臺    銀,180.5,155000,0
29,1040 臺    銀,181,1336100,1000
30,1041 臺銀鳳山,180,2000,0
31,1041 臺銀鳳山,181,128,2032
32,1041 臺銀鳳山,181.5,1000,0
33,1042 臺銀臺南,180.5,4000,0
34,1042 臺銀臺南,181,460,150
35,1043 臺銀民權,180.5,1000,0
36,1043 臺銀民權,181,4200,1000
37,1045 臺銀新竹,180.5,1000,0
38,1045 臺銀新竹,181,80,0
39,104A 臺銀臺中,180.5,3000,1000
40,104C 臺銀高雄,180.5,2000,1000
41,104C 臺銀高雄,181,4550,1100
42,104C 臺銀高雄,181.5,5000,0
43,104D 臺銀金山,180.5,1000,2000
44,104D 臺銀金山,181,4622,10000
45,104D 臺銀金山,181.5,0,1000
46,1110 企    銀,181,1000,0
47,1112 企銀台南,181,1000,0
48,1114 企銀嘉義,181,0,1000
49,1115 企銀太平,181,100,0
50,1119 企銀岡山,180.5,1000,0
51,111E 企銀桃園,181,1000,0
52,1160 日    盛,180,2000,0
53,1160 日    盛,180.5,58000,0
54,1160 日    盛,181,109000,5000
55,1160 日    盛,181.5,17000,0
56,1161 日盛忠孝,180.5,5000,0
57,1161 日盛忠孝,181,4050,0
58,1162 日盛台南,181,0,21000
59,1163 日盛台中,180,1000,0
60,1163 日盛台中,180.5,15000,0
61,1163 日盛台中,181,1000,2000
62,1165 日盛板橋,181,0,100
63,1166 日盛雙和,181.5,1000,0
64,1168 日盛高雄,181,5000,0
65,116A 日盛木柵,180.5,0,2000
66,116A 日盛木柵,181,0,34
67,116b 日盛園區,180.5,3000,0
68,116b 日盛園區,181,0,4
69,116B 日盛中壢,180,1000,0
70,116B 日盛中壢,181,12000,249
71,116B 日盛中壢,181.5,1000,0
72,116C 日盛八德,180.5,4000,22000
73,116E 日盛三重,180,10000,0
74,116f 日盛復興,180.5,5000,0
75,116f 日盛復興,181,0,1000
76,116f 日盛復興,181.5,0,1000
77,116F 日盛員林,181,50000,0
78,116G 日盛景美,180,2000,0
79,116H 日盛新竹,180.5,0,3000
80,116H 日盛新竹,181,10000,101000
81,116i 日盛樹林,181,1000,0
82,116I 日盛南京,180.5,0,1000
83,116I 日盛南京,181,1000,0
84,116j 日盛頭份,180,2000,0
85,116j 日盛頭份,180.5,2000,0
86,116j 日盛頭份,181,0,300
87,116k 日盛北高,181,1000,0
88,116K 日盛花蓮,181,7000,1000
89,116L 日盛大墩,180.5,3000,0
90,116m 日盛和美,181,4000,2000
91,116Q 日盛二林,180.5,3000,0
92,116s 日盛土城,181,50,0
93,116S 日盛新莊,180.5,8000,0
94,116S 日盛新莊,181,1000,0
95,116S 日盛新莊,181.5,1000,0
96,116U 日盛桃園,180.5,0,1000
97,116W 日盛鳳山,181,1000,0
98,116X 日盛宜蘭,181.5,0,2000
99,116Z 日盛中和,180.5,7000,0
100,116Z 日盛中和,181,1000,0
101,1230 彰    銀,181,12000,1000
102,1230 彰    銀,181.5,30000,0
103,1233 彰銀台中,181,0,1004
104,1260 宏    遠,180.5,0,1000
105,1260 宏    遠,181,100000,1000
106,1262 宏遠桃園,180.5,1000,0
107,1262 宏遠桃園,181,3200,0
108,126D 宏遠台南,180.5,0,2000
109,126D 宏遠台南,181,1000,4000
110,126H 宏遠中和,181,1000,0
111,126L 宏遠台中,180.5,3000,0
112,126U 宏遠館前,180.5,2000,0
113,126U 宏遠館前,181,3070,0
114,1360 港麥格理,180.5,0,30000
115,1360 港麥格理,181,0,61000
116,1360 港麥格理,181.5,0,175000
117,1380 台灣匯立,180.5,2311000,58000
118,1380 台灣匯立,181,2638000,711000
119,1380 台灣匯立,181.5,296000,59000
120,1440 美林,180,75000,2000
121,1440 美林,180.5,782000,182000
122,1440 美林,181,1319000,695000
123,1440 美林,181.5,483000,83000
124,1470 台灣摩根,180,0,1000
125,1470 台灣摩根,180.5,3000,722000
126,1470 台灣摩根,181,89000,170000
127,1470 台灣摩根,181.5,1000,34000
128,1480 美商高盛,180,0,3000
129,1480 美商高盛,180.5,97000,372000
130,1480 美商高盛,181,266000,392000
131,1480 美商高盛,181.5,28000,66000
