產業別,公司代號,名稱,股價日期,成交,漲跌價,漲跌幅,成交張數,市場,面值(元),股本(億),市值(億),成立年數,上市年數,董事長,總經理
水泥工業,1101,台泥,3月2日,38.15,0.45,1.19%,"16,410",上市,10,369,"1,409",66.2,55.1,張安平,張安平
水泥工業,1102,亞泥,3月2日,30.85,0.25,0.82%,"8,511",上市,10,336,"1,037",59.9,54.7,徐旭東,李坤炎
水泥工業,1103,嘉泥,3月2日,11.9,0,0%,"3,041",上市,10,77.5,92.2,62.2,47.3,張剛綸,祁士鉅
水泥工業,1104,環泥,3月2日,25.95,-0.35,-1.33%,736,上市,10,63.5,165,56.9,46.1,侯博義,侯博義
水泥工業,1108,幸福,3月2日,10.05,-0.1,-0.99%,696,上市,10,40.5,40.7,42.8,26.7,陳兩傳,陳兩傳
水泥工業,1109,信大,3月2日,10.4,0.05,0.48%,120,上市,10,37.9,39.4,53,25.2,楊智雄,楊智雄
水泥工業,1110,東泥,3月2日,15.9,0.05,0.32%,24,上市,10,57.2,90.9,60.2,22.4,陳敏斷,吳長直
食品工業,1201,味全,3月2日,18.85,0,0%,893,上市,10,50.6,95.4,63.4,55.1,陳永清,蘇守斌
食品工業,1203,味王,3月2日,23.9,-0.05,-0.21%,47,上市,10,24,57.4,57.7,52.5,陳清福,陳恭平
食品工業,1210,大成,3月2日,28.85,0.2,0.70%,"4,747",上市,10,73.6,212,56.2,38.8,韓家宇,莊坤炎
食品工業,1213,大飲,3月2日,18.1,0.15,0.84%,127,上市,10,5.66,10.2,51.6,35.9,江國貴,孫幼英
食品工業,1215,卜蜂,3月2日,49.45,1.5,3.13%,"9,195",上市,10,26.8,133,39.5,29.6,鄭武樾,許瑞通
食品工業,1216,統一,3月2日,56.5,0,0%,"15,252",上市,10,568,"3,210",49.5,29.2,羅智先,侯榮隆
食品工業,1217,愛之味,3月2日,7.63,-0.02,-0.26%,692,上市,10,49.5,37.7,45.7,27.3,陳哲芳,陳志展
食品工業,1218,泰山,3月2日,15.1,-0.25,-1.63%,"1,007",上市,10,35.3,53.4,66.4,27.3,詹逸宏,詹景超
食品工業,1219,福壽,3月2日,16.4,-0.05,-0.30%,88,上市,10,31.9,52.3,62.1,26.3,洪堯昆,洪堯昆
食品工業,1220,台榮,3月2日,11.05,0,0%,321,上市,10,17.7,19.6,48,25.3,陳維讓,陳英凱
食品工業,1225,福懋油,3月2日,49.95,0.45,0.91%,18,上市,10,21.9,109,30.9,23.4,茂生農經股份有限公司(代表人：許忠明),許逸群
食品工業,1227,佳格,3月2日,77.3,0,0%,838,上市,10,88,680,30.7,22.9,曹德風,曹德風
食品工業,1229,聯華,3月2日,23.4,-0.15,-0.64%,"1,072",上市,10,91.1,213,61.6,40.6,苗豐強,景虎士
食品工業,1231,聯華食,3月2日,31.85,-0.1,-0.31%,86,上市,10,15.3,48.7,46.7,21.3,李開源,李開勳
食品工業,1232,大統益,3月2日,86.7,0,0%,28,上市,10,16,139,34.8,21.1,羅智先,陳昭良
食品工業,1233,天仁,3月2日,37.9,-0.35,-0.92%,22,上市,10,9.06,34.3,41.2,18.1,李國麟,林仁宗
食品工業,1234,黑松,3月2日,33.5,-0.05,-0.15%,175,上市,10,40.2,135,47.2,18,張斌堂,張斌堂
食品工業,1235,興泰,3月2日,29.8,0.05,0.17%,40,上市,10,6.07,18.1,44.3,16.5,吳金泉,吳金泉
食品工業,1236,宏亞,3月2日,18.5,0,0%,6,上市,10,10.8,20,40.7,15.5,張豪城,張云綺
食品工業,1256,鮮活果汁-KY,3月2日,137,1,0.74%,66,上市,10,2.72,37.2,7.1,1,黃國晃,黃國晃
其他業,1262,綠悅-KY,3月2日,166.5,2,1.22%,763,上市,10,14.8,247,4.1,3.1,王哲夫,顏藝林
塑膠工業,1301,台塑,3月2日,90.4,-0.6,-0.66%,"7,459",上市,10,637,"5,755",62.3,52.6,林健男,林健男
塑膠工業,1303,南亞,3月2日,72,-0.5,-0.69%,"13,909",上市,10,793,"5,710",58.5,49.3,吳嘉昭,鄒明仁
塑膠工業,1304,台聚,3月2日,16.6,-0.4,-2.35%,"3,637",上市,10,114,190,51.8,44.8,吳亦圭,張繼中
塑膠工業,1305,華夏,3月2日,27.2,0.3,1.12%,"4,825",上市,10,47.8,130,52.8,44,吳亦圭,林漢福
塑膠工業,1307,三芳,3月2日,36.05,0.15,0.42%,72,上市,10,39.8,143,43.7,31.3,林孟經,蔡光爵
塑膠工業,1308,亞聚,3月2日,18.85,0.05,0.27%,603,上市,10,50.3,94.8,40.1,30.7,吳亦圭,李國弘
塑膠工業,1309,台達化,3月2日,10.55,-0.2,-1.86%,"1,546",上市,10,32.8,34.6,56.9,30.7,吳亦圭,應保羅
塑膠工業,1310,台苯,3月2日,22.1,-0.45,-2%,"6,445",上市,10,52.8,117,37.3,29.6,吳怡青,吳清典
塑膠工業,1312,國喬,3月2日,22.2,-0.35,-1.55%,"6,280",上市,10,92.7,206,43.4,28.2,吳春臺,楊品正
塑膠工業,1312A,國喬特,3月2日,27,-0.1,-0.37%,36,上市,,,,,28.2,,
塑膠工業,1313,聯成,3月2日,13.75,0,0%,"1,531",上市,10,117,161,40.5,27.9,苗豐強,柯衣紹
塑膠工業,1314,中石化,3月2日,11.7,-0.25,-2.09%,"36,499",上市,10,232,271,47.7,25.6,林克銘,余建松(暫代）
塑膠工業,1315,達新,3月2日,26.15,-0.05,-0.19%,19,上市,10,19.8,51.8,50.4,24.8,吳子聰,胡伯澤
化學工業,1316,上曜,3月2日,23,1,4.55%,"1,432",上市,10,11.5,26.4,37.2,24.4,張祐銘,張祐銘
塑膠工業,1319,東陽,3月2日,59.8,-1.6,-2.61%,"5,560",上市,10,59.1,354,49.3,22.2,吳永豐,吳永祥
塑膠工業,1321,大洋,3月2日,26.95,-0.1,-0.37%,37,上市,10,22.7,61.2,51.7,18.1,陳欽明,陳欽明
塑膠工業,1323,永裕,3月2日,34.05,0.15,0.44%,239,上市,10,9.13,31.1,43.9,16.5,王威程,王威程
塑膠工業,1324,地球,3月2日,13.05,-0.1,-0.76%,29,上市,10,7.51,9.8,52.2,16.5,張德照,黃林慶
塑膠工業,1325,恆大,3月2日,22.1,0,0%,68,上市,10,8.53,18.8,54.4,16.5,黃美慧,黃美慧
塑膠工業,1326,台化,3月2日,94.7,-0.3,-0.32%,"8,569",上市,10,586,"5,551",52,32.2,王文淵,黃棟騰
塑膠工業,1337,再生-KY,3月2日,17.45,-0.15,-0.85%,"1,845",上市,10,26.5,46.3,7.1,5.7,丁金造,丁志猛
汽車工業,1338,廣華-KY,3月2日,95.2,-0.6,-0.63%,384,上市,10,8.38,79.8,7.2,4.2,余澤民,黃建中
塑膠工業,1339,昭輝,3月2日,40,0,0%,83,上市,10,7.41,29.7,31,4.9,林詩芸,林宜宏
塑膠工業,1340,勝悅-KY,3月2日,56.6,0.5,0.89%,630,上市,10,11.5,65,4.7,3.2,莊國清,莊國清
紡織纖維,1402,遠東新,3月2日,26.8,0.1,0.37%,"10,036",上市,10,535,"1,435",63.1,49.9,徐旭東,"吳高山,曾裕賢,胡正隆,鄭澄宇"
紡織纖維,1409,新纖,3月2日,10,0.05,0.50%,"1,115",上市,10,162,162,49.9,43.5,吳東昇,羅時銓
紡織纖維,1410,南染,3月2日,26.05,-0.15,-0.57%,104,上市,10,7.2,18.8,52.2,43.4,何 鈞,何 鈞
紡織纖維,1413,宏洲,3月2日,5.63,-0.07,-1.23%,109,上市,10,13.2,7.44,48.6,41.2,詹正田,林金鈴
紡織纖維,1414,東和,3月2日,6.63,-0.03,-0.45%,297,上市,10,22,14.6,57.5,41.1,蔡淑櫻,陳文良
紡織纖維,1416,廣豐,3月2日,27.25,-0.05,-0.18%,71,上市,10,20.6,56.1,48.7,40.9,邱文達,賀錫敬
紡織纖維,1417,嘉裕,3月2日,5.61,-0.11,-1.92%,"1,383",上市,10,38,21.3,47.2,40.2,戚維功,賴宗仁
紡織纖維,1418,東華,3月2日,6,-0.25,-4%,107,上市,10,13.2,7.92,47,40,林河輝,林壯儒
紡織纖維,1419,新紡,3月2日,40.35,0,0%,28,上市,10,30,121,61.7,40,吳昕恩,邱錦發
紡織纖維,1423,利華,3月2日,7.4,-0.09,-1.20%,104,上市,10,17.3,12.8,52.6,37.9,應柔爾,陳朝銘
紡織纖維,1432,大魯閣,3月2日,16.05,-0.15,-0.93%,110,上市,10,17.1,27.5,43.6,34.6,林曼麗,謝國棟
紡織纖維,1434,福懋,3月2日,31,0,0%,984,上市,10,168,522,43.9,31.2,王文淵,謝式銘
其他業,1435,中福,3月2日,6.7,0.1,1.52%,908,上市,10,14,9.37,46.1,29.2,黃立中,黃立中
建材營造業,1436,華友聯,3月2日,39.2,0.2,0.51%,17,上市,10,7.59,29.8,50.1,28.9,陸炤廷,陸炤廷
半導體業,1437,勤益控,3月2日,19.75,0.4,2.07%,384,上市,10,19.8,39.1,56,28.3,顧肇基,顧肇基
建材營造業,1438,裕豐,3月2日,4.85,-0.04,-0.82%,55,上市,10,10.2,4.97,61.4,28.2,陳季函,陳季函
紡織纖維,1439,中和,3月2日,26.2,-0.1,-0.38%,"1,004",上市,10,9.2,24.1,52.4,27.8,陳植英,黃進財
紡織纖維,1440,南紡,3月2日,14.15,0.1,0.71%,"2,974",上市,10,166,234,62,27.4,侯博明,陳鴻模
紡織纖維,1441,大東,3月2日,7.28,0.08,1.11%,31,上市,10,8.98,6.54,59,27.3,陳修忠,陳建州
建材營造業,1442,名軒,3月2日,18.6,0.05,0.27%,130,上市,10,26.9,50,42.6,27.3,吳泓瑩,李木鐸
