產業別,公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%)
水泥工業,1101,台泥,7087046,7454905,7026214,-4.93,0.86,63024723,69118305,-8.81
水泥工業,1102,亞泥,5078411,5106282,5546527,-0.54,-8.43,44103219,49119242,-10.21
水泥工業,1103,嘉泥,277340,196746,189109,40.96,46.65,2104580,1957522,7.51
水泥工業,1104,環球水泥,293590,388895,423675,-24.50,-30.70,3362715,3770793,-10.82
水泥工業,1108,幸福水泥,335445,388420,340734,-13.63,-1.55,3163694,3770395,-16.09
水泥工業,1109,信大水泥,345658,364687,442774,-5.21,-21.93,3025703,3204962,-5.59
水泥工業,1110,東泥,83555,103040,138827,-18.91,-39.81,1087711,1371851,-20.71
水泥工業,1101,台泥,7087046,7454905,7026214,-4.93,0.86,63024723,69118305,-8.81
水泥工業,1102,亞泥,5078411,5106282,5546527,-0.54,-8.43,44103219,49119242,-10.21
水泥工業,1103,嘉泥,277340,196746,189109,40.96,46.65,2104580,1957522,7.51
水泥工業,1104,環球水泥,293590,388895,423675,-24.50,-30.70,3362715,3770793,-10.82
水泥工業,1108,幸福水泥,335445,388420,340734,-13.63,-1.55,3163694,3770395,-16.09
水泥工業,1109,信大水泥,345658,364687,442774,-5.21,-21.93,3025703,3204962,-5.59
水泥工業,1110,東泥,83555,103040,138827,-18.91,-39.81,1087711,1371851,-20.71
食品工業,1201,味全公司,1672012,1763703,1806688,-5.19,-7.45,13300809,16194079,-17.86
食品工業,1203,味王公司,507478,578616,610679,-12.29,-16.89,4742645,5133913,-7.62
食品工業,1210,大成長城,6539518,6489143,6972451,0.77,-6.20,55212859,58981604,-6.38
食品工業,1213,大飲,48340,93287,55527,-48.18,-12.94,535679,602035,-11.02
食品工業,1215,卜蜂企業,1532451,1630587,1443831,-6.01,6.13,13327847,12374527,7.70
食品工業,1216,統一,35517051,37381315,36509184,-4.98,-2.71,319022454,320959530,-0.60
食品工業,1217,愛之味,337564,599499,391263,-43.69,-13.72,3313449,3839226,-13.69
