產業別,公司代號,名稱,股價日期,成交,漲跌價,漲跌幅,成交張數,市場,面值(元),股本(億),市值(億),成立年數,上市年數,董事長,總經理
食品工業,1258,其祥-KY,3月2日,40.2,0,0%,142,上櫃,10,3.55,14.3,6.8,5.2,王其祥,王建山
觀光事業,1259,安心,3月2日,80,0.4,0.50%,52,上櫃,10,3.24,25.9,26.3,5.2,黃茂雄,高順興
食品工業,1264,德麥,3月2日,219,2,0.92%,34,上櫃,10,3.06,67.1,27.7,1.9,林雪嬌,吳文欽
電子零組件業,1333,恩得利,3月2日,3.74,-0.06,-1.58%,8,上櫃,10,6.15,2.3,23.4,11.6,林義雄,林有欽
電子零組件業,1336,台翰,3月2日,9.63,-0.04,-0.41%,26,上櫃,10,6.28,6.04,29.5,9.3,楊劍平,楊劍平
生技醫療業,1565,精華,3月2日,532,1,0.19%,404,上櫃,10,5.04,268,30.4,12.9,陳明賢,周育然
電機機械,1566,捷邦,3月2日,17.1,0.15,0.88%,68,上櫃,10,6.65,11.4,40.2,6.1,胡湘麒,胡湘麒
電腦及週邊設備業,1569,濱川,3月2日,26.95,-2.95,-9.87%,"22,555",上櫃,10,9.38,25.3,33.9,11.6,蕭欽銘,蕭欽群
電機機械,1570,力肯,3月2日,13.8,-0.05,-0.36%,32,上櫃,10,5.15,7.11,33.2,11.7,溫銘漢,溫銘漢
電機機械,1580,新麥,3月2日,135.5,-0.5,-0.37%,58,上櫃,10,4.85,65.8,33.4,9.2,謝順和,呂國宏
其他業,1584,精剛,3月2日,15.2,0,0%,901,上櫃,10,8.25,12.5,14.8,9.3,陳興時,張世豐
電機機械,1586,和勤,3月2日,26.8,0.05,0.19%,336,上櫃,10,6.96,18.6,24.3,5.1,邱東和,邱森玉
電機機械,1591,駿吉-KY,3月2日,21.7,-1.45,-6.26%,54,上櫃,10,3.01,6.54,7.3,4.9,江文洲,江文洲
生技醫療業,1593,祺驊,3月2日,39,-0.3,-0.76%,13,上櫃,10,3.03,11.8,20,4.7,徐鉦鑑,李穎哲
電子零組件業,1595,川寶,3月2日,46.6,-0.8,-1.69%,68,上櫃,10,3.87,18,18,5.4,張鴻明,張鴻明
電機機械,1597,直得,3月2日,33.65,-0.55,-1.61%,369,上櫃,10,6.2,20.9,18.4,4.2,陳麗芬,許明哲
電機機械,1599,宏佳騰,3月2日,50.3,-0.1,-0.20%,72,上櫃,10,5.17,26,13.2,4.2,鍾杰霖,鍾杰霖
化學工業,1742,台蠟,3月2日,11.6,-0.7,-5.69%,705,上櫃,10,7.22,8.38,29.6,12.8,林哲印,林哲印
生技醫療業,1752,南光,3月2日,43.35,0.85,2%,538,上櫃,10,10.1,43.8,43.5,7.6,陳立賢,王玉杯
生技醫療業,1777,生泰,3月2日,101.5,1.5,1.50%,133,上櫃,10,3.01,30.5,34.3,11.4,蕭振明,王義烽
生技醫療業,1781,合世,3月2日,19.85,0,0%,89,上櫃,10,4.74,9.41,20.2,12.2,楊國和,楊國和
生技醫療業,1784,訊聯,3月2日,30.25,-0.1,-0.33%,45,上櫃,10,4.97,15,16.5,9.6,蔡政憲,劉天來
其他電子業,1785,光洋科,3月2日,14.35,-0.1,-0.69%,"1,914",上櫃,10,40.7,58.3,38.5,12.1,馬堅勇,黃啟峰
化學工業,1787,福盈科,3月2日,22.55,0,0%,113,上櫃,10,7.2,16.2,38.2,11.9,莊才晉,江志舜
生技醫療業,1788,杏昌,3月2日,99,0.4,0.41%,31,上櫃,10,3.5,34.6,28,7.6,李忠良,陳國師
生技醫療業,1795,美時,3月2日,63.1,-1.4,-2.17%,803,上櫃,10,23.8,150,50.7,7.1,林群,王憲政
生技醫療業,1799,易威,3月2日,22.35,0,0%,140,上櫃,10,7.94,17.7,18.6,8.3,李世仁,許景琦
生技醫療業,1813,寶利徠,3月2日,23.9,-0.25,-1.04%,77,上櫃,10,4.66,11.1,23.4,7.6,宋一新,李瑞賢
電子零組件業,1815,富喬,3月2日,17,-0.15,-0.87%,"7,774",上櫃,10,41.4,70.4,18.1,11.1,張元賓,張元賓
鋼鐵工業,2035,唐榮,3月2日,49.65,0.15,0.30%,7,上櫃,10,35,174,61.9,10.7,趙健在,梁進民
電器電纜,2061,風青,3月2日,9.55,-0.15,-1.55%,85,上櫃,10,6.21,5.93,22.5,6.2,陳福得,陳福得
鋼鐵工業,2063,世鎧,3月2日,28.6,0.15,0.53%,45,上櫃,10,4.5,12.9,24.8,6.5,杜泰源,林上安
鋼鐵工業,2064,晉椿,3月2日,17.5,0,0%,14,上櫃,10,7,12.2,45.8,2.2,陳陽輝,高進義
電機機械,2066,世德,3月2日,106,-1.5,-1.40%,20,上櫃,10,3.65,38.7,29.1,3.4,陳光裕,吳森富
電機機械,2067,嘉鋼,3月2日,13.85,-0.05,-0.36%,2,上櫃,10,3.69,5.11,42.9,2.8,曹光照,曹恆健
其他業,2221,大甲,3月2日,22.2,-0.4,-1.77%,203,上櫃,10,4.24,9.42,39.5,9.6,黃士峰,鍾志清
